Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.066253
C=C(C)OC,Frag_2,-232.247894
C=CC,Frag_3,-117.786758
C1=CCCC1,Frag_4,-195.151201
C=C(C)C#N,Frag_5,-209.993797
c1cc[nH]c1,Frag_6,-210.016077
C=C(C)N,Frag_7,-173.114127
C=CN,Frag_8,-133.831938
C=C(C)C(=C)C,Frag_9,-234.408059
c1ccncc1,Frag_10,-248.107562
C=C(C)C(=O)O,Frag_11,-306.289307
C=C(C)C(N)=O,Frag_12,-286.413439
C=C(C)C(C)=O,Frag_13,-270.346645
CC(=O)C(C)=O,Frag_14,-306.282407
CC(C)=O,Frag_15,-193.009149
C1CCCC1,Frag_16,-196.363707
CC(C)C#N,Frag_17,-211.209297
CCC,Frag_18,-119.005284
C1CC1,Frag_19,-117.778623
C=C(C)C1CC1,Frag_20,-234.395366
C=C(C)NC,Frag_21,-212.378874
CNC,Frag_22,-135.030093
COC,Frag_23,-154.894908
C=C(C)CC,Frag_24,-196.342151
NC(N)[N+](=O)[O-],Frag_25,-355.523119
NC(N)N,Frag_26,-206.400552
C1NCNCN1,Frag_27,-283.751954
CN(C)[N+](=O)[O-],Frag_28,-339.452521
CC[N+](=O)[O-],Frag_29,-284.157579
CCCN,Frag_30,-174.316372
CCN,Frag_31,-135.040924
CC(C)[N+](=O)[O-],Frag_32,-323.437955
CO[N+](=O)[O-],Frag_33,-320.028834
CCON,Frag_34,-210.169314
CCCO,Frag_35,-194.186756
CON,Frag_36,-170.893665
CCO,Frag_37,-154.910876
CC(C)ON,Frag_38,-249.455633
c1ccoc1,Frag_39,-229.873060
C=C(O)[N+](=O)[O-],Frag_40,-358.135804
C=CO,Frag_41,-153.698339
C1NCNCNCN1,Frag_42,-378.330814
CCCC,Frag_43,-158.279663
CC(C)(C)[N+](=O)[O-],Frag_44,-362.718366
CCN(C)N,Frag_45,-229.596803
CN(C)N,Frag_46,-190.313553
NC[N+](=O)[O-],Frag_47,-300.200749
NCN,Frag_48,-151.080674
